location,data
Japan,"1. Passengers who have been in Albania, Armenia, Australia, Bahrain, Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.), Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, North Macedonia, Panama, Philippines, Poland, Romania, Serbia, Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam in the past 14 days are not allowed to enter.
- This does not apply to nationals of Japan.
- This does not apply to spouses or children of nationals of Japan if they can prove it.
- This does not apply to residents of Japan with “Permanent Resident"" or “Long Term Resident"", who have departed Japan with Re-entry Permission by 2 April 2020.
- This does not apply to passengers with a Special Permanent Residence Permit. However, they must have a Re-entry Permit from a regional immigration officer.
- This does not apply to US military personnel.
- This does not apply to airline crew if they comply with the following requirements:
(a) each crewmember must submit a quarantine questionnaire;
(b) each crewmember must submit and a ""Plan of Stay in Japan"" declaration;
(c) crews should adhere to the instructions provided in the quarantine document ""Notice: For Crews boarding vehicles from areas subject to strengthened quarantine"";
(d) airlines should arrange chartered vehicles (as opposed to public transportation) to transport crews between the airport and their hotel; and 
(e) airlines should ensure that crews comply with items (a) through (d) above during their stay in Japan.
2. Passengers and airline crew who have been in Albania, Andorra, Armenia, Australia, Austria, Bahrain, Belgium, Bolivia, Bosnia and Herzegovina Brazil, Brunei Darussalam, Bulgaria, Canada, China (People's Rep.), Chinese Taipei, Chile, Congo (Dem. Rep.), Cote d'lvoire, Croatia, Cyprus, Czechia, Denmark, Dominica, Ecuador, Egypt, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Indonesia, Iran, Ireland (Rep.), Israel, Italy, Korea (Rep.), Kosovo (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Mauritius, Monaco, Montenegro, Malaysia, Moldova, Morocco, Netherland, New Zealand, North Macedonia, Norway, Panama, Philippines, Poland, Portugal, Romania, San Marino, Serbia, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, Turkey, Vatican City (Holy See), Viet Nam, USA or United Kingdom in the past 14 days must submit a quarantine questionnaire upon arrival.
3. Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.
- This does not apply to nationals of Japan. 
- This does not apply to spouses or children of nationals of Japan if they can prove it.
- This does not apply to passengers with a Special Permanent Residence Permit. However, they must have a Re-entry Permit from a regional immigration officer.
- This does not apply to US military personnel.
4. Visas issued on or before 2 April 2020 by the Embassies, Consulates-General and Consulate of Japan located outside Albania, Armenia, Australia, Bahrain, Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.), Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, Finland, Greece, Hong Kong (SAR China), Hungary, Korea (Rep.), Kosovo (Rep.), Israel, Indonesia, Latvia, Lithuania, Macao (SAR China), Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, North Macedonia, Panama, Philippines, Singapore, Slovakia, Serbia, Thailand, Poland, Romania, Turkey, United Kingdom, USA and Viet Nam, are invalidated.
5. Visa exemption for passengers with passengers with a British passport, Hong Kong (SAR China) passport, Macao (SAR China) passport is suspended.
6. Visa exemption for nationals of Andorra, Argentina, Austria, Bahamas, Barbados, Belgium, Brunei Darussalam, Bulgaria, Costa Rica, Croatia, Czechia, Cyprus, Denmark, Dominican Rep., El Salvador, Estonia, Finland, France, Germany, Greece, Guatemala, Honduras, Hungary, Iceland, Indonesia, Iran, Ireland (Rep.), Israel, Italy, Korea (Rep.), Latvia, Lesotho, Liechtenstein, Lithuania, Luxembourg, Malaysia, Malta, Mexico, Monaco, Netherlands, Norway, Peru, Poland, Portugal, Romania, San Marino, Singapore, Slovakia, Slovenia, Spain, Suriname, Sweden, Switzerland, Thailand, Tunisia, United Arab Emirates, Uruguay and Vatican City (Holy See) is suspended.
7. Visa exemption for nationals of Azerbaijan, Bangladesh, Cambodia"
Mauritius,"Passengers are not allowed to enter Mauritius until 2 April 2020, 6:00GMT.
- This does not apply to nationals of Mauritius, their spouses and children. They will be placed in quarantine"
Samoa,"1. Nationals of the USA and residents of Samoa (American) who transited or have been in Arizona, California, Florida, Georgia, Hawaii, Illinois, Massachusetts, New Hampshire, New York, North Carolina, Oregon, Rhode Island, Texas, Washington or Wisconsin, are subject to Public Health screening and might be medically or home quarantined.

2. Entry Permits, issued by Samoa (American) instead of visas, are suspended.

- This does not apply to residents of Samoa (American) with residence permit or an Immigration Board approval.

3. Passengers arriving from Samoa must:

- obtain a health clearance from Ministry of Health (MOH) 3 days prior to arrival;

- present a completed “DOT Travel Declaration Form” upon arrival.

4. Passengers who transited or have been in countries affected by Coronavirus (COVI-19), when arriving from Hawaii, must:

-spend 14 days in Hawaii; and

-obtain a health clearance 3 days before arrival in Samoa (American); and

-present a completed “DOT Travel Declaration Form” upon arrival; and

-provide itinerary upon arrival.

5. Flights from Tonga with Talofa Airways are suspended."
Switzerland,"1. Passengers are not allowed to enter Switzerland.
- This does not apply to nationals or residents of Switzerland or Liechtenstein.
- This does not apply to passenger with a cross-border commuter permit who are entering Switzerland for work, with a C-visa issued by Switzerland for the purpose of ""business meetings"" as specialists in the field of health or ""official visit"" of great importance, with a D-visa issued by Switzerland or who have an assurance of a residence permit.
-This does not apply to passengers traveling directly through Switzerland to another country that they are permitted to enter.
- This does not apply to passengers who are entitled to freedom of movement and have a professional reason for entering Switzerland and have a confirmation of registration.
- This does not apply to passengers who are of great importance as specialists in the health sector.
- This does not apply to passengers travelling by land to their country of origin or residency within the European Union or Schengen area. They must have a proof of onward journey.
2. Passengers can only land at Basel (BSL), Geneva (GVA) or Zurich (ZRH)."
Laos,Flights to Lao People's Dem. Rep. are suspended until 3 May 2020.
Philippines,"1. Passengers who have transited through or have been in China (People’s Rep.), Hong Kong (SAR China) or Macao (SAR China) in the past 14 days are not allowed to enter the Philippines. 
- This does not apply to nationals of the Philippines. They will be required to self-isolate for a period of 14 days from their arrival into the Philippines.
- This does not apply to spouses or children of nationals of the Philippines. They will be required to self-isolate for a period of 14 days from their arrival into the Philippines.
- This does not apply to permanent residents of the Philippines. They will be required to self-isolate for a period of 14 days from their arrival into the Philippines.
2.Passengers who have transited through or have been in the North Gyeongsang Province (including Daegu and Cheongdo Country) of Korea (Rep.) in the past 14 days are not allowed to enter the Philippines. 
- This does not apply to nationals of the Philippines. 
- This does not apply to spouses or children of nationals of the Philippines. 
- This does not apply to permanent residents of the Philippines. 
3. Passengers who have transited through or have been in Iran or Italy in the past 14 days are required to present a Medical Clearance or Health Declaration Certificate, issued by Health Authority within 48 hours prior to arrival and certifying that the passenger is free from Coronavirus (COVID-19).
- This does not apply to nationals of the Philippines. 
- This does not apply to spouses or children of nationals of the Philippines. 
- This does not apply to permanent residents of the Philippines. 
Passengers who have transited through or have been in Iran or Italy in the past 14 days, are required to undergo a 14-day quarantine.
Effective 22 March 2020, passengers under the following visa categories are not allowed to enter the Philippines:
- Passengers under Visa Waiver Agreements.
- Passengers with Special Visas
- Passengers who fall under Executive Order No.408, s1960 (EO408);
- Passengers with a Hong Kong (SAR China) passport, Macao (SAR China) passport, Macao-Portuguese, and British National Overseas passports.
- Immigrant and non-Immigrant visa holders (i.e. 13, 9D, 9F, 9G, 47a(2), etc.)
This does not apply to:
- Foreign spouses and children of Filipino nationals (if they are not traveling together, they should show proof of marriage or filiation).
- Foreign government and International Organization officials whose visas were issued by the Philippines government.
- Foreign crew members."
Iceland,"1.Passengers are not allowed to enter Iceland until 15 May 2020. 
This does not apply to nationals of EEA Member States and Switzerland.
This does not apply to passengers with a British passport. 
This does not apply to passengers with a residence permit issued by a Schengen Member State.
This does not apply to:
- family members of nationals of EEA Member States, Switzerland and of British nationals;
- diplomats;
- health and care workers traveling on duty;
- humanitarian aid workers;
- international organizations personnel;
- passengers that require international protection; 
- passengers traveling on family emergencies;
- members of armed forces traveling on duty. 
2.Passengers listed in above exemptions who intent to travel through Iceland on their way to another Schengen Member State must have a written confirmation of their permission to enter the other Schengen Member State.
3.Returning nationals and residents of Iceland must undergo quarantine for 14 days."
Comoros,"Passengers who have transited or have been in China (People's Rep.), Egypt, France, Iran, Italy, Morocco, South Africa, Spain or Tunisia are not allowed to enter Comoros."
Saint Kitts and Nevis,Airports in St. Kitts and Nevis are closed.
North Korea,"1. Passengers traveling as tourists are not allowed to enter. 
2. Passengers traveling on business or duty must spend 14 days in quarantine upon arrival."
Lebanon,"Flights to Lebanon are suspended until 26 April 2020.
- This does not apply to search and rescue, state aircraft and emergency medical flights.
- This does not apply to diplomatic delegations working in Lebanon.
- This does not apply to International Organizations personnel. 
- This does not apply to UNIFIL forces and personnel working for companies associated with drilling operations in Block No. 4.
- This does not apply to military."
Saint Lucia,All airports in St. Lucia are closed until 30 April 2020.
Cayman Islands,"Flights to Owen Roberts International (GCM) airport are suspended.
- This does not apply to Cayman Airways domestic flights.
- This does not apply to emergency and Medevac flights. They must obtain a prior approval from the Civil Aviation in Cayman Isl."
Kiribati,"1. Passengers who have been in Australia, China (People's Rep.), Egypt, France, Germany, Italy, Japan, Korea (Rep.), Malaysia, Singapore, Spain, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam are not allowed to enter Kiribati. They must have stayed in a country with no confirmed cases of Coronavirus (COVID-19) for a period of minimum 14 days before entering Kiribati. They must provide a medical clearance to confirm that they are free from the Coronavirus (COVID-19).

2. Passengers must fill-in a ""Health Arrival Form"" and e-tickets must be provided to the immigration at time of arrival."
Latvia,"Passengers are not allowed to transit or enter Latvia.
- This does not apply to nationals and permanent residents of Latvia."
Madagascar,All flights to Madagascar are suspended until 20 April 2020.
Italy,"1. Passengers traveling as tourists are not allowed to enter via airports in the Lombardy region and the provinces of Alessandria, Asti, Modena, Novara, Padova, Parma, Pesaro and Urbino, Piacenza, Reggio Emilia, Rimini, Treviso-Venice, Verbano-Cusio-Ossola and Vercelli.
2.Passengers traveling on business, for health reasons, in an emergency or if they are residents are allowed to enter Italy via airports in the Lombardy region and the provinces of Alessandria, Asti, Modena, Novara, Padova, Parma, Pesaro and Urbino, Piacenza, Reggio Emilia, Rimini, Treviso-Venice, Verbano-Cusio-Ossola and Vercelli.
3.Passengers must inform their arrival to the regional Department of Prevention; and 
- are subject to health surveillance and isolation for 14 days; and 
- must submit a declaration that they entered Italy for proven working requirements for a maximum of 72 hours or for a justified extension for specific needs for additional 48 hours.
4. A completed self-declaration form must be handed to the airline before arriving in Italy."
Viet Nam,"1. Passengers are not allowed to enter Viet Nam.
- This does not apply to passengers for diplomatic or official duty. They will be subject to mandatory medical declaration and self-isolation.
- This does not apply to passengers who are experts, business managers or highly skilled workers. They will be subject to mandatory medical declaration and self-isolation.
- This does not apply to passengers approved by National Steering Committee on Covid-19 Prevention and Control.
- This does not apply to airline crew. They will be subject to mandatory medical declaration and other effective regulations as well as observing self-quarantine during their stay until the next flight schedule.
2. For transportation of nationals of Vietnam returning to Vietnam, airlines must contact the Vietnamese Diplomatic Representative agency in the local country in advance. Noi Bai International Airport (HAN) is temporarily suspending all flights.
3. All passengers will be placed on quarantine at a designated facility for 14 days upon arrival. 
4. All visa issuances are suspended.
5. All passengers must fill out a quarantine form prior to arrival. 
6. Passengers who travel for diplomatic or official purpose will undergo a medical examination at the border before allowed to enter Viet Nam. 
7. Nationals of Italy and Korea (Rep.) with a normal passport are no longer visa exempt. 
8. Nationals of Denmark, Finland, France, Germany, Norway, Spain, Sweden and passengers with a British passport are no longer visa exempt.
9. Passengers with a Certificate of Visa Exemption issued by Viet Nam are no longer visa exempt if they reside in China (People's Rep.), Denmark, Finland, France, Germany, Iran, Italy, Korea (Rep.), Norway, Spain, Sweden or United Kingdom. 
10. Nationals of Belarus, Japan and Russian Fed. with a normal passport are no longer visa exempt.
11. Passengers with a Certificate of Visa Exemption issued by Viet Nam are no longer visa exempt if they are nationals of Belarus, Japan or Russian Fed. with a normal passport."
Myanmar,"1. All visa issuances are suspended until 30 April 2020.
2. All flights to Myanmar are suspended until 30 April 2020.
- This does not apply to relief flights;
- This does not apply to medical evacuation flights;
- This does not apply to special flights approved by the Department of Civil Aviation."
Estonia,"Passengers are not allowed to enter Estonia.
- This does not apply to nationals and residents of Estonia.
- This does not apply to passengers who are entering Estonia in order to go back home with a transport other than the plane. They must not show any symptoms of Coronavirus (COVID-19).
- This does not apply to nationals and residents of Latvia who work in Estonia. They must not show any symptoms of Coronavirus (COVID-19).
- This does not apply to the following:
passengers who are asymptomatic and who are directly involved in transporting goods and raw materials, including the loading of goods;
persons related to the international transport of goods and passengers, members of the team or crew servicing the international means of transport, and the persons performing repair, warranty or maintenance operations on the means of transport;
passengers related to the business continuity of critical services;
passengers whose arrival in Estonia is related to the maintenance, repair or warranty activities of a device, or operations related to information and communication technology, if these are necessary for ensuring the operation of a company."
Moldova,"Passengers are not allowed to enter Moldova (Rep.).

- This does not apply to nationals and residents of Moldova (Rep.)."
Marshall Islands,Passengers are not allowed to enter Marshall Isl. until 5 May 2020.
Macao,"1. Visitors who reside or have been in the Hubei Province (Chine People's Rep.) in the past 14 days are not allowed to enter Macao (SAR China) unless they prove with a valid certificate that they are not infected with the Coronavirus (COVID-19).

2. Passengers with a Macao (SAR China) passport and those residing in Macao (SAR China) who have been in the Hubei Province (Chine People's Rep.) in the past 14 days must fill-in a Health Declaration Form.
3. Passengers who have been in Iran, Italy or Korea (Rep.) will be subject to quarantine for 14 days."
Macedonia,"North Macedonia (Rep.) borders are closed.

- This does not apply to nationals and residents of North Macedonia (Rep.).

- This does not apply to accredited diplomats.

- This does not apply to passengers with a special permit issued by the Ministry of Interior of North Macedonia (Rep.)."
Montenegro,"Passengers arriving from Hubei Province of China (People's Rep.), Iran, Italy, Korea (Rep.) or Spain are not allowed to enter. 
- This does not apply to nationals of Montenegro."
Namibia,Namibia's borders are closed until 23 April 2020.
Oman,"Passengers are not allowed to enter Oman. 
- This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and the United Arab Emirates. 
- This does not apply to passengers with a resident visa issued by Oman. 
Nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates and passengers with a resident visa issued by Oman will be placed in quarantine for a minimum of 14 days."
Panama,"1. Passengers are not allowed to enter Panama.
- This does not apply to nationals of Panama.
- This does not apply to passengers who reside in Panama.
2. Nationals and residents of Panama must be in home quarantine for 14 days."
Peru,"1. Passengers are not allowed to enter Peru until 26 April 2020.
2. Airline crew must self-isolate at hotel Costa del Sol at Jorge Chavez International Airport for the entire duration of stay."
New Caledonia,Flights to New Caledonia are suspended until 31 May 2020.
Nepal,All international flights to Nepal are suspended until 30 April 2020.
Polynesia,"Passengers are not allowed to enter French Polynesia. 
- This does not apply to passengers who reside in French Polynesia"
Papua New Guinea,"Passengers who have been in China (People's Rep.), Iran, Italy, Japan or Korea (Rep.) in the past 14 days are not allowed to enter Papua New Guinea. They must have spent 14 consecutive days in a country that is free from Coronavirus (COVID-19)."
Nauru,"Passengers who have transited through or have been in China (People's Rep.), Hong Kong (SAR China), Italy, Korea (Rep.) or Macao (SAR China) in the past 21 days will not be allowed to enter Nauru."
Niue,"Passengers who have been in Australia, Austria, Belgium, Bulgaria, China (People's Rep.), Chinese Taipei, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Ireland (Rep.), Indonesia, Iran, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Macao (SAR China), Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, USA or United Kingdom in the past 14 days are not allowed to enter Niue.
- This does not apply to nationals and resident of Niue and to airline crew."
New Zealand,"1. New Zealand borders are closed.
- This does not apply to nationals of New Zealand, permanent residents and residents with valid travel conditions, and their immediate family.
- This does not apply to nationals Australia and permanent residents if New Zealand is their primary place of established residence.
- This does not apply to diplomats accredited to New Zealand and currently resident in New Zealand.
- This does not apply to Visitor, student and work visa holders who are ordinarily resident in New Zealand and who are the partner or dependent child of a temporary student or work visa holder who is in New Zealand.
- This does not apply to partners, dependent children and legal guardians of, and who are traveling with:
New Zealand citizens or permanent resident visa holders; or
New Zealand resident visa holders where the resident visa was granted in New Zealand; or
New Zealand resident visa holders where the resident visa holder is arriving in New Zealand for a second or subsequent time where they are travelling with that New Zealand citizen or resident visa holder.
- This does not apply to the following:
essential health workers, as confirmed by the Ministry of Health; or
other essential workers, as confirmed by the New Zealand Government; or
citizens of Samoa and Tonga making essential travel to New Zealand; or
people coming to New Zealand for humanitarian reasons.
2. Nationals of New Zealand, permanent residents and residents with valid travel conditions and their immediate family, diplomats accredited to New Zealand and currently resident in New Zealand will be subject to self-isolation for 14 days."
Palau,"Passengers who have transited through or have been in China (People's Rep.), Hong Kong (SAR China) or Macao (SAR China) in the past 14 days are not allowed to enter Palau."
Paraguay,"Flights to Paraguay are suspended until 26 April 2020.
- This does not apply to health services and repatriation flights."
Qatar,"1. Passengers are not allowed to enter Qatar.
- This does not apply to nationals of Qatar.
2. Nationals of Qatar are not allowed to exit Qatar."
Saudi Arabia,"Passengers are not allowed to enter Saudi Arabia.

-This does not apply to nationals of Saudi Arabia."
Denmark,"All passengers are not allowed to enter Denmark.

- This does not apply to nationals of Denmark.

- This does not apply to residents of Denmark.

- This does not apply to passengers with one of the following purposes:

a. Visiting a critically or terminal ill family member;

b. Participating in a funeral;

c. Called for a court case;

d. Exercising visitation rights with a minor;

e. Being a legal guardian for a minor;

f. Already in an ongoing health treatment;

g. Have employment in Denmark – documentation needed;

h. Passengers in transit or with connecting flights, and who can provide/present valid ticket for next destination which must be non-domestic;

i. Passengers who can provide documentation for having their vehicle parked at Copenhagen Airport, and who need the vehicle for their ongoing journey out of Denmark (e.g. to Sweden)."
Malaysia,"1. Passengers are not allowed to enter Malaysia.
- This does not apply to nationals of Malaysia.
- This does not apply to permanent residents of Malaysia.
- This does not apply to passengers with a diplomatic passport.
- This does not apply to passengers with official passport on a diplomatic mission.
- This does not apply to passengers who are embassy employees with a proof of employment and their dependents.
2. Nationals and residents of Malaysia will be quarantined for 14 days.
3. Passengers who are embassy employees or have a diplomatic or official passport will be quarantined for 14 days.
Effective 3 April 2020:
Transfer from an international flight to a domestic flight is not allowed."
Pakistan,"All international flights to Pakistan are suspended until 11 April 2020.
- This does not apply to diplomatic, special and flights of national carriers. They must have a special approval from the competent authority for transporting stranded passengers. Passengers will be subject to thorough checking as per established procedures (including swab testing, isolation or quarantine). "
Puerto Rico,"1. Passengers will be quarantined for 14 days.
2. Passengers must present a completed Puerto Rico Department of Health form upon arrival."
Portugal,"Flights to Portugal are suspended until 17 April 2020.
-This does not apply to flights arriving from Angola, Austria, Belgium, Brazil (Sao Paulo (GRU) and Rio De Janeiro (RIO) airports only), Bulgaria, Canada, Cape Verde, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Guinea-Bissau, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Lithuania, Luxembourg, Malta, Mozambique, Netherlands, Norway, Poland, Portugal, Romania, Sao Tome and Principe, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, USA, United Kingdom or Venezuela.
- This does not apply to flights bringing back nationals and residence of Portugal."
Thailand,"Flights to Thailand are suspended until 30 April 2020 17:00 UTC.
- This does not apply to state or military aircraft, emergency landing, technical landing without disembarkation, humanitarian aid, medical, relief and repatriation flights."
Tajikistan,"Passengers who have transited through or have been in Afghanistan, China (People’s Rep.), Iran, Italy or Korea (Rep.) in the past 14 days are not allowed to transit or enter Tajikistan.

- This does not apply to nationals of Tajikistan."
Belgium,"1. Passengers are not allowed to enter until 15 May 2020. 
This does not apply to:
- Passengers arriving from an EEA Member States, Switzerland or the United Kingdom.
- Nationals of EEA Member States and Switzerland returning home.
- British nationals returning home.
- Nationals of Andorra, Monaco, Montenegro, North Macedonia (Rep.), San Marino, Serbia and Vatican City (Holy See) with proof of connection travel to their home country.
- Passengers with a long term residence permit or a long term visa issued by EEA Member States, Switzerland or the United Kingdom.
- Family members of nationals of EEA Member States, Switzerland, and of British nationals;
- Diplomats;
- Personnel of international and humanitarian organizations;
- Humanitarian aid workers;
- Military personnel.
2. Passenger flights are only allowed to operate between 7:00 and 21:00.
- This does not apply to humanitarian, repatriation and United Nations flights.
3. Belgium temporarily reintroduced border controls."
Lithuania,"1. Passengers are not allowed to enter Lithuania.
-This does not apply to:
- nationals and residents of Lithuania
- diplomats accredited to Lithuania
- NATO personnel and personnel working for them and their family members
- passengers with permission by issued by the respective minister and by the government.
2.Passengers allowed to enter must arrive at Vilnius (VNO), Kaunas (KUN), Palanga (PLQ) or Siauliai (SQQ)
3.Transit through Lithuania is possible only for passengers traveling in groups on their way back to their country of residence. They must be escorted to the international border crossing points.
4.Flights with a permission issued by the Lithuanian Transport Safety Administration under the order of the Minister of Transport and Communications can operate to Lithuania.
5.Returning nationals and residents of Lithuania are subject to 14 days isolation.
6.Airline crew must be in isolation until the day of departure, but no longer than 14 days."
Slovakia,"Passengers are not allowed to enter Slovakia.
-This does not apply to nationals and residents of Slovakia. They must remain in quarantine for 14 days upon arrival."
Greece,"1. Passengers are not allowed to enter Greece until 15 May 2020.
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland.
- This does not apply to family members of nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland.
- This does not apply to passengers with a British passport and their family members.
- This does not apply to passengers with a residence permit issued by Greece. A certificate of application for renewal of a residence permit issued by Greece is not accepted.
- This does not apply to passengers with a residence permit issued by Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom.
- This does not apply to passengers with a long term visa issued by Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom.
- This does not apply to:
a. healthcare professionals and health researchers designated to support the national health care system;
b. government members, diplomats, staff of international organizations, military personnel and humanitarian aid workers in the exercise of their duties;
c. passengers in transit;
d. airline crew;
e. passengers travelling for imperative family or business reasons provided that the relevant authorization has been obtained by the Greek embassy/consulate.
2. Passengers arriving in Greece must go under quarantine for 14 days upon arrival. They must give their contact information to the authorities at the airport of arrival.
- This does not apply to airline crew.
- This does not apply to state flights, sanitary flights, humanitarian flights and military flights. 
3. Flights from and to Turkey are suspended until 15 May 2020.
- This does not apply to the following flights:
a. flights approved by the Hellenic Ministry of Foreign Affairs for repatriation of Greek citizens, their family members and holders of residence permit in Greece.
b. state flights.
c. sanitary flights.
d. humanitarian flights.
e. emergency flights.
f. fire fighting flights.
g. frontex flights.
h. technical landings where passengers do not disembark. 
4. Flights from and to Germany, Italy, Netherlands, Spain and the United Kingdom are suspended until 15 May 2020.
- This does not apply to the following flights:
a. flights designated to support the Hellenic national healthcare system.
b. flights approved by the Hellenic ministry of Foreign Affairs for repatriation of Greek citizens, their family members and holders of residence permit in Greece.
c. state flights.
d. sanitary flights.
e. humanitarian flights.
f. emergency flights.
g. military flights.
h. fire fighting flights.
i. frontex flights.
j. technical landings where passengers do not disembark."
Sudan,"All airports in Sudan are closed until 23 April 2020.
- This does not apply to humanitarian aid, medical and relief flights."
El Salvador,"El Salvador International Airport San Oscar Arnulfo Romero y Galdamez is closed until 28 April 2020.
- This does not apply to US military flights (CSL), humanitarian aid flights, ambulance flights, ferry/maintenance flights, repatriation flights with a special clearance. "
